"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.65473323150273e-104,0.685996614496362,1,0.994,1.37348878372853e-99,"0","ACTA2"
3.90068288678135e-90,0.567854378754872,1,0.998,6.99899530375177e-86,"0","MYL9"
2.73928506073315e-85,-0.871900831677054,0.998,1,4.91509918447348e-81,"0","CTSD"
6.22330015557118e-84,-0.919018813898453,0.994,0.996,1.11664674691414e-79,"0","LYZ"
5.67593566029373e-81,0.866615022113546,0.998,0.98,1.0184331355265e-76,"0","COL3A1"
2.0299044707978e-80,-0.420223849656794,1,1,3.64225759195249e-76,"0","CD74"
1.08845277119529e-76,-0.558419041453144,1,1,1.9530108073557e-72,"0","HLA-DRA"
2.16184732889815e-74,-0.588265307023968,1,1,3.87900266224196e-70,"0","FTL"
7.24250300313349e-74,0.558109399269108,0.994,0.981,1.29952231385224e-69,"0","MYLK"
4.261764916495e-73,0.714299696137173,0.987,0.869,7.64688478966697e-69,"0","OGN"
5.63662748915773e-72,0.644106342438478,1,0.981,1.01138007037957e-67,"0","TPM2"
2.38906916772038e-69,0.769537630806499,0.994,0.99,4.28670680764067e-65,"0","COL1A2"
1.99949566695272e-67,0.581235538686733,0.994,0.975,3.58769507521326e-63,"0","TAGLN"
9.50195233341226e-66,-0.505675310553737,1,1,1.70493530718416e-61,"0","PSAP"
9.99653697471818e-64,0.595251595927776,0.993,0.972,1.79367862937368e-59,"0","TPM1"
1.68408865591552e-60,0.739546607890651,0.98,0.946,3.02176027530922e-56,"0","COL6A3"
6.62255253595228e-59,-0.813223985936569,0.941,0.971,1.18828460152592e-54,"0","TYROBP"
8.82493932686897e-56,-0.728935077567644,0.972,0.985,1.5834588634201e-51,"0","C1QB"
3.78007157765936e-54,0.381315917712718,0.998,1,6.78258243179419e-50,"0","FLNA"
3.81417106590946e-54,0.57775705579809,0.987,0.944,6.84376714356134e-50,"0","AEBP1"
4.32418647180369e-54,0.682950923192228,0.956,0.865,7.75888778635737e-50,"0","CTSK"
1.02904855345862e-52,0.914685128238982,0.987,0.955,1.8464218194708e-48,"0","COL1A1"
1.11550079759447e-52,-0.697120272456387,0.969,0.989,2.00154308112376e-48,"0","CTSZ"
1.24073131892185e-51,0.554234429993023,0.994,0.966,2.22624420554148e-47,"0","COL6A2"
1.49672486428986e-51,-1.11962999462491,0.844,0.934,2.68557342399529e-47,"0","CHIT1"
7.3478754095458e-50,0.607142261469169,0.989,0.948,1.3184292847348e-45,"0","NBL1"
4.20941318926172e-49,-0.546109494644465,0.987,0.993,7.5529500854923e-45,"0","HLA-DRB1"
1.81442221944368e-48,-0.651249218482672,0.956,0.978,3.25561778834779e-44,"0","HLA-DQA1"
